"case","dir","pretest","conftest","indtest","c12","c21","hill1","hill2","p_val","beta1","beta_h1","beta_h2","dirH","pretestH","conftestH","c12H","c21H","df1","df2","dfh"
1,1,0,0,0,0.478574358974359,0.396789743589744,0.368240104427183,0.419960349942237,0.038398548992699,0.40148814804852,0.286147915758193,0.248455687984824,NA,NA,NA,NA,NA,4,3,4
3,1,1,1,1,0.993666666666667,0.876646153846154,0.417160283130553,0.340500255074355,0.00145588159138121,0.770670260302722,0.477463350258768,0.58897302262485,NA,NA,NA,NA,NA,3,4,4
2,1,0,1,0,0.683169230769231,0.672869230769231,0.313804667168986,0.323542743096563,0.629017462902304,0.796566189825535,0.587262165173888,0.548743731714785,1,0,1,0.615404523689325,0.605081818181818,4,4,3
2,2,0,1,1,0.703033333333333,0.712171794871795,0.355541593840902,0.431316416128993,0.00243530538859926,0.507192800939083,0.390117792598903,0.239251544885337,1,0,0,0.540319967322093,0.523498931896439,3,4,2
1,1,0,0,0,0.609753846153846,0.506679487179487,0.52481013962536,0.406667217564433,6.92162670818952e-05,0.494060602039099,0.269017428718507,0.388326387666166,NA,NA,NA,NA,NA,2,3,2
4,1,1,1,1,0.997397435897436,0.95524358974359,0.558291144497412,0.387277726949342,1.82395423209414e-08,0.585175172053278,0.223975496552885,0.420097159594297,1,1,1,0.997300203257738,0.964091801920389,2,4,4
2,1,1,1,0,0.852564102564103,0.583248717948718,0.396521328665269,0.490004750108502,0.000912477065322603,0.896572614833713,0.699121843464673,0.413493648916483,1,0,0,0.654471244481979,0.566218270917572,4,2,2
3,1,1,1,1,0.993041025641026,0.7658,0.517473453049078,0.425740368637739,0.00220556350804357,0.581740484759212,0.551058235764504,0.743316013365984,NA,NA,NA,NA,NA,2,3,4
2,1,0,1,0,0.619107692307692,0.577651282051282,0.506744818431925,0.515375812391904,0.789454053945279,0.381142867729068,0.455113207176328,0.462337386608124,1,0,0,0.530475316476,0.525325427890199,2,2,2
2,1,0,0,1,0.52141282051282,0.427992307692308,0.379905215989554,0.487941098485264,9.36495137933147e-05,0.514299485273659,0.274159822054207,0.287291905283928,1,0,0,0.552451622978963,0.462857672767503,3,2,4
1,2,0,0,0,0.555079487179487,0.588587179487179,0.404774309312769,0.35858451792714,0.0561386984521894,0.514783597178757,0.676539566740394,0.404937242157757,NA,NA,NA,NA,NA,4,3,4
2,2,0,0,1,0.508225641025641,0.514776923076923,0.530172504456016,0.332785923280198,1.77569070558548e-12,0.569643217325211,0.758536107838154,0.219044700264931,2,0,0,0.507715685189633,0.550806181319883,3,2,4
2,1,0,0,1,0.619484615384615,0.517707692307692,0.311489066847555,0.484575015888325,1.83386639207583e-11,0.80950994733721,0.720750224776566,0.542173443175852,2,0,0,0.531694863474259,0.54581861243869,4,2,4
3,1,1,1,0,0.974346153846154,0.721420512820513,0.388631480075266,0.369370045042612,0.421800689920207,0.672353285364807,0.213235512934625,0.24744851924479,NA,NA,NA,NA,NA,3,3,4
1,1,0,0,0,0.613335897435897,0.505974358974359,0.510843594695565,0.587902426837379,0.0269404477982769,0.39621360655874,0.653242505900562,0.480850260145962,NA,NA,NA,NA,NA,2,2,3
1,2,0,0,0,0.47415641025641,0.508010256410256,0.359067277736849,0.381166306201878,0.345348530551404,0.506201128475368,0.760637620650232,0.225927000306547,NA,NA,NA,NA,NA,3,4,4
4,1,0,1,1,0.965651282051282,0.897515384615385,0.556354128909601,0.453740124285473,0.00139317114920168,0.413782363384962,0.150975779257715,0.886173086799681,1,1,1,0.972826814457207,0.878371406521646,2,3,2
4,1,1,1,1,0.98955641025641,0.923194871794872,0.427614461132749,0.368818404149994,0.019901912806269,0.839744126424193,0.156404361315072,0.474216972850263,1,1,1,0.991418015925465,0.858937551770259,3,4,2
1,1,0,0,1,0.493123076923077,0.472405128205128,0.398687004667621,0.348148941586873,0.0327596382478696,0.777389318309724,0.777771488390863,0.809896522387862,NA,NA,NA,NA,NA,3,4,3
4,1,1,1,0,0.9944,0.766948717948718,0.533342202870728,0.473313542401362,0.059784685677621,0.834865759313107,0.224188883416355,0.35214430578053,1,1,1,0.994834393978891,0.783370082982682,2,2,4
1,2,0,0,0,0.482020512820513,0.54104358974359,0.353853268401897,0.361385433018939,0.739134003657183,0.303297419846058,0.12959727216512,0.599880072660744,NA,NA,NA,NA,NA,4,4,4
2,1,0,0,1,0.625797435897436,0.558858974358974,0.552644089360196,0.346847044952312,1.75326420048805e-12,0.438593604974449,0.515898609720171,0.2731400616467,1,0,0,0.636353913744782,0.556310205513575,2,4,4
3,1,1,0,1,0.946617948717949,0.529679487179487,0.339413970047562,0.479086304247658,1.04137911405289e-07,0.657964906468987,0.136580339260399,0.666801366955042,NA,NA,NA,NA,NA,4,2,4
4,1,1,1,1,0.971417948717949,0.615107692307692,0.340632638209592,0.46718823666143,9.85966288613582e-07,0.694962076470256,0.380460203811526,0.274705557711422,1,1,1,0.954240678462091,0.620013284008567,4,2,3
3,1,1,1,1,0.977884615384615,0.839766666666667,0.517686588952051,0.366647951070837,1.01579921585326e-07,0.419658482074738,0.888255231641233,0.554659936763346,NA,NA,NA,NA,NA,2,4,3
4,1,1,1,1,0.987030769230769,0.780369230769231,0.380568312557088,0.338637737383934,0.0656918634220529,0.32889935337007,0.541105486266315,0.116253185644746,1,1,1,0.930798359887575,0.591167718287419,4,4,2
2,1,1,1,0,0.849217948717949,0.615887179487179,0.359502278241797,0.417318727398842,0.0189203625660932,0.774943147972226,0.499100930057466,0.230634433403611,1,0,0,0.65205549654093,0.537399879699857,4,3,2
3,1,1,0,1,0.877202564102564,0.505574358974359,0.337290552035895,0.488899391014801,1.14585776422871e-08,0.461732298880816,0.792118439264596,0.1337955230847,NA,NA,NA,NA,NA,4,2,4
2,1,0,1,0,0.728412820512821,0.704723076923077,0.313755666158516,0.308724634206867,0.798279519861072,0.542651943489909,0.764640860445797,0.747684549354017,1,0,1,0.653497995799858,0.639028277445523,4,4,4
2,2,1,0,0,0.463594871794872,0.619123076923077,0.509038157994027,0.545956683337312,0.26875613715117,0.267308085784316,0.242715876176953,0.468309935182333,2,0,0,0.457517634116633,0.548931291338182,2,2,2
1,2,0,0,0,0.463661538461538,0.567989743589744,0.370558285580134,0.405735579198792,0.152287452554204,0.398237124085426,0.170245431922376,0.34263031128794,NA,NA,NA,NA,NA,3,4,2
1,2,0,0,0,0.494861538461538,0.525920512820513,0.385879355184183,0.411722507581728,0.305800166804869,0.152632378973067,0.657301490195096,0.241414713859558,NA,NA,NA,NA,NA,3,3,4
2,2,0,1,1,0.720174358974359,0.786220512820513,0.498459899128637,0.405269789868113,0.00118007072367177,0.283208498544991,0.430240948684514,0.779884290508926,2,0,0,0.503485503521732,0.542086839306565,3,2,2
1,1,1,0,1,0.59304358974359,0.462694871794872,0.360101359484785,0.566437287732151,6.24877927180023e-12,0.833114264532924,0.478854670189321,0.756975280866027,NA,NA,NA,NA,NA,4,2,3
4,1,1,1,0,0.970192307692308,0.876505128205128,0.35031477129896,0.325860957806321,0.25308561582026,0.661219443567097,0.464855387806892,0.660344337485731,1,1,1,0.963736004931049,0.791569963747313,4,4,3
2,2,0,0,1,0.542615384615385,0.62635641025641,0.312169640751063,0.491134806843704,6.13264994342444e-12,0.858030712045729,0.553750449419022,0.728709857165813,2,0,0,0.556498733701175,0.565778594249516,2,4,4
2,1,1,1,1,0.771766666666667,0.595438461538461,0.369445044941244,0.551566697218687,8.55165271929081e-10,0.857752107642591,0.262396742776036,0.305619906634092,2,0,0,0.559320717749762,0.576594991524911,4,2,2
2,2,0,0,1,0.508620512820513,0.625010256410256,0.319627975828214,0.379483937201404,0.00698449433966952,0.801763666421175,0.194643463008106,0.592466505989432,2,0,0,0.534955827426112,0.585955737719486,3,4,4
1,1,0,0,1,0.506407692307692,0.488261538461538,0.51529625493806,0.424877212260192,0.00246764600683247,0.121987596899271,0.61002509240061,0.555555548332632,NA,NA,NA,NA,NA,2,3,2
1,1,0,0,1,0.571123076923077,0.455625641025641,0.550757690709983,0.417142584054234,1.52948281286758e-05,0.446045276150107,0.735285329073668,0.792327343299985,NA,NA,NA,NA,NA,2,3,4
3,1,1,0,1,0.962951282051282,0.509530769230769,0.397855673368577,0.468836496366635,0.00984526465789259,0.526757954061031,0.856334655918181,0.897503300569952,NA,NA,NA,NA,NA,3,2,4
1,2,0,0,0,0.440879487179487,0.530838461538461,0.372407357797085,0.415882566504623,0.0816151225274986,0.479243084229529,0.114345049113035,0.424191213212907,NA,NA,NA,NA,NA,3,4,4
1,1,0,0,1,0.462035897435897,0.412589743589744,0.333819756205671,0.509856374499016,1.05312869536078e-10,0.387485619075596,0.392784705199301,0.773166314512491,NA,NA,NA,NA,NA,4,2,2
3,1,1,1,0,0.979658974358974,0.700989743589744,0.37004912350341,0.342930992209894,0.229402171546022,0.685345969162881,0.697999306581914,0.810288535803556,NA,NA,NA,NA,NA,3,3,4
1,1,0,0,1,0.494928205128205,0.473335897435897,0.552762673248712,0.353239289789709,1.03805852802452e-11,0.706471807137132,0.703469650633633,0.740540690161288,NA,NA,NA,NA,NA,2,4,2
3,1,1,1,1,0.928946153846154,0.680015384615385,0.413931471342996,0.332576057682104,0.000612521567544322,0.401236417889595,0.780359866097569,0.755257869884372,NA,NA,NA,NA,NA,3,4,3
